reading_id,machine_id,sensor_type,value,unit,recorded_at
SR-P-101-007-flow_rate,P-101,flow_rate,114.63,m³/h,2026-07-23T10:35:00Z
SR-P-101-007-rotational_speed,P-101,rotational_speed,1478.97,rpm,2026-07-23T10:35:00Z
SR-P-101-008-vibration_rms,P-101,vibration_rms,2.9,mm/s RMS,2026-07-23T10:40:00Z
SR-P-101-008-bearing_temperature,P-101,bearing_temperature,66.12,°C,2026-07-23T10:40:00Z
SR-P-101-008-motor_current,P-101,motor_current,23.11,A,2026-07-23T10:40:00Z
SR-P-101-008-suction_pressure,P-101,suction_pressure,1.86,bar,2026-07-23T10:40:00Z
SR-P-101-008-discharge_pressure,P-101,discharge_pressure,5.6,bar,2026-07-23T10:40:00Z
SR-P-101-008-flow_rate,P-101,flow_rate,114.07,m³/h,2026-07-23T10:40:00Z
SR-P-101-008-rotational_speed,P-101,rotational_speed,1480.88,rpm,2026-07-23T10:40:00Z
SR-P-101-009-vibration_rms,P-101,vibration_rms,2.95,mm/s RMS,2026-07-23T10:45:00Z
SR-P-101-009-bearing_temperature,P-101,bearing_temperature,66.34,°C,2026-07-23T10:45:00Z
SR-P-101-009-motor_current,P-101,motor_current,23.1,A,2026-07-23T10:45:00Z
SR-P-101-009-suction_pressure,P-101,suction_pressure,1.87,bar,2026-07-23T10:45:00Z
SR-P-101-009-discharge_pressure,P-101,discharge_pressure,5.64,bar,2026-07-23T10:45:00Z
SR-P-101-009-flow_rate,P-101,flow_rate,114.68,m³/h,2026-07-23T10:45:00Z
SR-P-101-009-rotational_speed,P-101,rotational_speed,1480.08,rpm,2026-07-23T10:45:00Z
SR-P-101-010-vibration_rms,P-101,vibration_rms,3.01,mm/s RMS,2026-07-23T10:50:00Z
SR-P-101-010-bearing_temperature,P-101,bearing_temperature,66.23,°C,2026-07-23T10:50:00Z
SR-P-101-010-motor_current,P-101,motor_current,23.04,A,2026-07-23T10:50:00Z
SR-P-101-010-suction_pressure,P-101,suction_pressure,1.82,bar,2026-07-23T10:50:00Z
SR-P-101-010-discharge_pressure,P-101,discharge_pressure,5.64,bar,2026-07-23T10:50:00Z
SR-P-101-010-flow_rate,P-101,flow_rate,113.4,m³/h,2026-07-23T10:50:00Z
SR-P-101-010-rotational_speed,P-101,rotational_speed,1479.94,rpm,2026-07-23T10:50:00Z
SR-P-101-011-vibration_rms,P-101,vibration_rms,2.99,mm/s RMS,2026-07-23T10:55:00Z
SR-P-101-011-bearing_temperature,P-101,bearing_temperature,65.59,°C,2026-07-23T10:55:00Z
SR-P-101-011-motor_current,P-101,motor_current,23.04,A,2026-07-23T10:55:00Z
SR-P-101-011-suction_pressure,P-101,suction_pressure,1.86,bar,2026-07-23T10:55:00Z
SR-P-101-011-discharge_pressure,P-101,discharge_pressure,5.63,bar,2026-07-23T10:55:00Z
SR-P-101-011-flow_rate,P-101,flow_rate,114.22,m³/h,2026-07-23T10:55:00Z
SR-P-101-011-rotational_speed,P-101,rotational_speed,1479.23,rpm,2026-07-23T10:55:00Z
SR-P-102-000-vibration_rms,P-102,vibration_rms,3.08,mm/s RMS,2026-07-23T10:00:00Z
SR-P-102-000-bearing_temperature,P-102,bearing_temperature,66.83,°C,2026-07-23T10:00:00Z
SR-P-102-000-motor_current,P-102,motor_current,23.07,A,2026-07-23T10:00:00Z
SR-P-102-000-suction_pressure,P-102,suction_pressure,1.78,bar,2026-07-23T10:00:00Z
SR-P-102-000-discharge_pressure,P-102,discharge_pressure,5.46,bar,2026-07-23T10:00:00Z
SR-P-102-000-flow_rate,P-102,flow_rate,112.42,m³/h,2026-07-23T10:00:00Z
SR-P-102-000-rotational_speed,P-102,rotational_speed,1478.84,rpm,2026-07-23T10:00:00Z
SR-P-102-001-vibration_rms,P-102,vibration_rms,3.41,mm/s RMS,2026-07-23T10:05:00Z
SR-P-102-001-bearing_temperature,P-102,bearing_temperature,67.49,°C,2026-07-23T10:05:00Z
SR-P-102-001-motor_current,P-102,motor_current,23.15,A,2026-07-23T10:05:00Z
SR-P-102-001-suction_pressure,P-102,suction_pressure,1.72,bar,2026-07-23T10:05:00Z
SR-P-102-001-discharge_pressure,P-102,discharge_pressure,5.39,bar,2026-07-23T10:05:00Z
SR-P-102-001-flow_rate,P-102,flow_rate,110.52,m³/h,2026-07-23T10:05:00Z
SR-P-102-001-rotational_speed,P-102,rotational_speed,1480.02,rpm,2026-07-23T10:05:00Z
SR-P-102-002-vibration_rms,P-102,vibration_rms,3.78,mm/s RMS,2026-07-23T10:10:00Z
SR-P-102-002-bearing_temperature,P-102,bearing_temperature,67.63,°C,2026-07-23T10:10:00Z
SR-P-102-002-motor_current,P-102,motor_current,23.03,A,2026-07-23T10:10:00Z
SR-P-102-002-suction_pressure,P-102,suction_pressure,1.66,bar,2026-07-23T10:10:00Z
SR-P-102-002-discharge_pressure,P-102,discharge_pressure,5.36,bar,2026-07-23T10:10:00Z
SR-P-102-002-flow_rate,P-102,flow_rate,108.32,m³/h,2026-07-23T10:10:00Z
SR-P-102-002-rotational_speed,P-102,rotational_speed,1479.98,rpm,2026-07-23T10:10:00Z
SR-P-102-003-vibration_rms,P-102,vibration_rms,3.95,mm/s RMS,2026-07-23T10:15:00Z
SR-P-102-003-bearing_temperature,P-102,bearing_temperature,68.42,°C,2026-07-23T10:15:00Z
SR-P-102-003-motor_current,P-102,motor_current,22.82,A,2026-07-23T10:15:00Z
SR-P-102-003-suction_pressure,P-102,suction_pressure,1.59,bar,2026-07-23T10:15:00Z
SR-P-102-003-discharge_pressure,P-102,discharge_pressure,5.21,bar,2026-07-23T10:15:00Z
SR-P-102-003-flow_rate,P-102,flow_rate,105.33,m³/h,2026-07-23T10:15:00Z
SR-P-102-003-rotational_speed,P-102,rotational_speed,1479.84,rpm,2026-07-23T10:15:00Z
SR-P-102-004-vibration_rms,P-102,vibration_rms,4.5,mm/s RMS,2026-07-23T10:20:00Z
SR-P-102-004-bearing_temperature,P-102,bearing_temperature,68.33,°C,2026-07-23T10:20:00Z
SR-P-102-004-motor_current,P-102,motor_current,22.84,A,2026-07-23T10:20:00Z
SR-P-102-004-suction_pressure,P-102,suction_pressure,1.52,bar,2026-07-23T10:20:00Z
SR-P-102-004-discharge_pressure,P-102,discharge_pressure,5.13,bar,2026-07-23T10:20:00Z
SR-P-102-004-flow_rate,P-102,flow_rate,103.78,m³/h,2026-07-23T10:20:00Z
SR-P-102-004-rotational_speed,P-102,rotational_speed,1480.74,rpm,2026-07-23T10:20:00Z
SR-P-102-005-vibration_rms,P-102,vibration_rms,4.68,mm/s RMS,2026-07-23T10:25:00Z
SR-P-102-005-bearing_temperature,P-102,bearing_temperature,69.21,°C,2026-07-23T10:25:00Z
SR-P-102-005-motor_current,P-102,motor_current,23.16,A,2026-07-23T10:25:00Z
SR-P-102-005-suction_pressure,P-102,suction_pressure,1.45,bar,2026-07-23T10:25:00Z
SR-P-102-005-discharge_pressure,P-102,discharge_pressure,5.14,bar,2026-07-23T10:25:00Z
SR-P-102-005-flow_rate,P-102,flow_rate,101.07,m³/h,2026-07-23T10:25:00Z
SR-P-102-005-rotational_speed,P-102,rotational_speed,1479.29,rpm,2026-07-23T10:25:00Z
SR-P-102-006-vibration_rms,P-102,vibration_rms,5.21,mm/s RMS,2026-07-23T10:30:00Z
SR-P-102-006-bearing_temperature,P-102,bearing_temperature,69.53,°C,2026-07-23T10:30:00Z
SR-P-102-006-motor_current,P-102,motor_current,22.87,A,2026-07-23T10:30:00Z
SR-P-102-006-suction_pressure,P-102,suction_pressure,1.41,bar,2026-07-23T10:30:00Z
SR-P-102-006-discharge_pressure,P-102,discharge_pressure,4.98,bar,2026-07-23T10:30:00Z
SR-P-102-006-flow_rate,P-102,flow_rate,97.69,m³/h,2026-07-23T10:30:00Z
SR-P-102-006-rotational_speed,P-102,rotational_speed,1478.57,rpm,2026-07-23T10:30:00Z
SR-P-102-007-vibration_rms,P-102,vibration_rms,5.2,mm/s RMS,2026-07-23T10:35:00Z
SR-P-102-007-bearing_temperature,P-102,bearing_temperature,70.61,°C,2026-07-23T10:35:00Z
SR-P-102-007-motor_current,P-102,motor_current,23.16,A,2026-07-23T10:35:00Z
SR-P-102-007-suction_pressure,P-102,suction_pressure,1.3,bar,2026-07-23T10:35:00Z
SR-P-102-007-discharge_pressure,P-102,discharge_pressure,4.95,bar,2026-07-23T10:35:00Z
SR-P-102-007-flow_rate,P-102,flow_rate,94.82,m³/h,2026-07-23T10:35:00Z
SR-P-102-007-rotational_speed,P-102,rotational_speed,1478.95,rpm,2026-07-23T10:35:00Z
SR-P-102-008-vibration_rms,P-102,vibration_rms,5.75,mm/s RMS,2026-07-23T10:40:00Z
SR-P-102-008-bearing_temperature,P-102,bearing_temperature,71.13,°C,2026-07-23T10:40:00Z
SR-P-102-008-motor_current,P-102,motor_current,22.84,A,2026-07-23T10:40:00Z
SR-P-102-008-suction_pressure,P-102,suction_pressure,1.26,bar,2026-07-23T10:40:00Z
SR-P-102-008-discharge_pressure,P-102,discharge_pressure,4.8,bar,2026-07-23T10:40:00Z
SR-P-102-008-flow_rate,P-102,flow_rate,93.2,m³/h,2026-07-23T10:40:00Z
SR-P-102-008-rotational_speed,P-102,rotational_speed,1478.03,rpm,2026-07-23T10:40:00Z
SR-P-102-009-vibration_rms,P-102,vibration_rms,5.99,mm/s RMS,2026-07-23T10:45:00Z
SR-P-102-009-bearing_temperature,P-102,bearing_temperature,71.57,°C,2026-07-23T10:45:00Z
SR-P-102-009-motor_current,P-102,motor_current,22.96,A,2026-07-23T10:45:00Z
SR-P-102-009-suction_pressure,P-102,suction_pressure,1.16,bar,2026-07-23T10:45:00Z
SR-P-102-009-discharge_pressure,P-102,discharge_pressure,4.77,bar,2026-07-23T10:45:00Z
SR-P-102-009-flow_rate,P-102,flow_rate,91.26,m³/h,2026-07-23T10:45:00Z
SR-P-102-009-rotational_speed,P-102,rotational_speed,1481.8,rpm,2026-07-23T10:45:00Z
SR-P-102-010-vibration_rms,P-102,vibration_rms,6.21,mm/s RMS,2026-07-23T10:50:00Z
SR-P-102-010-bearing_temperature,P-102,bearing_temperature,71.7,°C,2026-07-23T10:50:00Z
SR-P-102-010-motor_current,P-102,motor_current,22.97,A,2026-07-23T10:50:00Z
SR-P-102-010-suction_pressure,P-102,suction_pressure,1.14,bar,2026-07-23T10:50:00Z
SR-P-102-010-discharge_pressure,P-102,discharge_pressure,4.64,bar,2026-07-23T10:50:00Z
SR-P-102-010-flow_rate,P-102,flow_rate,88.09,m³/h,2026-07-23T10:50:00Z
SR-P-102-010-rotational_speed,P-102,rotational_speed,1479.81,rpm,2026-07-23T10:50:00Z
SR-P-102-011-vibration_rms,P-102,vibration_rms,6.62,mm/s RMS,2026-07-23T10:55:00Z
SR-P-102-011-bearing_temperature,P-102,bearing_temperature,72.14,°C,2026-07-23T10:55:00Z
SR-P-102-011-motor_current,P-102,motor_current,23.14,A,2026-07-23T10:55:00Z
SR-P-102-011-suction_pressure,P-102,suction_pressure,1.03,bar,2026-07-23T10:55:00Z
SR-P-102-011-discharge_pressure,P-102,discharge_pressure,4.55,bar,2026-07-23T10:55:00Z
SR-P-102-011-flow_rate,P-102,flow_rate,85.03,m³/h,2026-07-23T10:55:00Z
SR-P-102-011-rotational_speed,P-102,rotational_speed,1481.28,rpm,2026-07-23T10:55:00Z
SR-P-103-000-vibration_rms,P-103,vibration_rms,2.95,mm/s RMS,2026-07-23T10:00:00Z
SR-P-103-000-bearing_temperature,P-103,bearing_temperature,66.0,°C,2026-07-23T10:00:00Z
SR-P-103-000-motor_current,P-103,motor_current,23.17,A,2026-07-23T10:00:00Z
SR-P-103-000-suction_pressure,P-103,suction_pressure,1.85,bar,2026-07-23T10:00:00Z
SR-P-103-000-discharge_pressure,P-103,discharge_pressure,5.63,bar,2026-07-23T10:00:00Z
SR-P-103-000-flow_rate,P-103,flow_rate,114.51,m³/h,2026-07-23T10:00:00Z
SR-P-103-000-rotational_speed,P-103,rotational_speed,1481.78,rpm,2026-07-23T10:00:00Z
SR-P-103-001-vibration_rms,P-103,vibration_rms,3.46,mm/s RMS,2026-07-23T10:05:00Z
SR-P-103-001-bearing_temperature,P-103,bearing_temperature,66.61,°C,2026-07-23T10:05:00Z
SR-P-103-001-motor_current,P-103,motor_current,23.06,A,2026-07-23T10:05:00Z
SR-P-103-001-suction_pressure,P-103,suction_pressure,1.83,bar,2026-07-23T10:05:00Z
SR-P-103-001-discharge_pressure,P-103,discharge_pressure,5.57,bar,2026-07-23T10:05:00Z
SR-P-103-001-flow_rate,P-103,flow_rate,113.72,m³/h,2026-07-23T10:05:00Z
SR-P-103-001-rotational_speed,P-103,rotational_speed,1478.12,rpm,2026-07-23T10:05:00Z
SR-P-103-002-vibration_rms,P-103,vibration_rms,3.62,mm/s RMS,2026-07-23T10:10:00Z
SR-P-103-002-bearing_temperature,P-103,bearing_temperature,67.28,°C,2026-07-23T10:10:00Z
SR-P-103-002-motor_current,P-103,motor_current,23.2,A,2026-07-23T10:10:00Z
SR-P-103-002-suction_pressure,P-103,suction_pressure,1.85,bar,2026-07-23T10:10:00Z
SR-P-103-002-discharge_pressure,P-103,discharge_pressure,5.56,bar,2026-07-23T10:10:00Z
SR-P-103-002-flow_rate,P-103,flow_rate,113.8,m³/h,2026-07-23T10:10:00Z
SR-P-103-002-rotational_speed,P-103,rotational_speed,1481.94,rpm,2026-07-23T10:10:00Z
SR-P-103-003-vibration_rms,P-103,vibration_rms,3.98,mm/s RMS,2026-07-23T10:15:00Z
SR-P-103-003-bearing_temperature,P-103,bearing_temperature,67.82,°C,2026-07-23T10:15:00Z
SR-P-103-003-motor_current,P-103,motor_current,23.36,A,2026-07-23T10:15:00Z
SR-P-103-003-suction_pressure,P-103,suction_pressure,1.84,bar,2026-07-23T10:15:00Z
SR-P-103-003-discharge_pressure,P-103,discharge_pressure,5.65,bar,2026-07-23T10:15:00Z
SR-P-103-003-flow_rate,P-103,flow_rate,113.24,m³/h,2026-07-23T10:15:00Z
SR-P-103-003-rotational_speed,P-103,rotational_speed,1478.92,rpm,2026-07-23T10:15:00Z
SR-P-103-004-vibration_rms,P-103,vibration_rms,4.39,mm/s RMS,2026-07-23T10:20:00Z
SR-P-103-004-bearing_temperature,P-103,bearing_temperature,68.66,°C,2026-07-23T10:20:00Z
SR-P-103-004-motor_current,P-103,motor_current,23.84,A,2026-07-23T10:20:00Z
SR-P-103-004-suction_pressure,P-103,suction_pressure,1.83,bar,2026-07-23T10:20:00Z
SR-P-103-004-discharge_pressure,P-103,discharge_pressure,5.61,bar,2026-07-23T10:20:00Z
SR-P-103-004-flow_rate,P-103,flow_rate,114.97,m³/h,2026-07-23T10:20:00Z
SR-P-103-004-rotational_speed,P-103,rotational_speed,1479.29,rpm,2026-07-23T10:20:00Z
SR-P-103-005-vibration_rms,P-103,vibration_rms,4.82,mm/s RMS,2026-07-23T10:25:00Z
SR-P-103-005-bearing_temperature,P-103,bearing_temperature,69.96,°C,2026-07-23T10:25:00Z
SR-P-103-005-motor_current,P-103,motor_current,23.69,A,2026-07-23T10:25:00Z
SR-P-103-005-suction_pressure,P-103,suction_pressure,1.82,bar,2026-07-23T10:25:00Z
SR-P-103-005-discharge_pressure,P-103,discharge_pressure,5.57,bar,2026-07-23T10:25:00Z
SR-P-103-005-flow_rate,P-103,flow_rate,114.4,m³/h,2026-07-23T10:25:00Z
SR-P-103-005-rotational_speed,P-103,rotational_speed,1479.01,rpm,2026-07-23T10:25:00Z
SR-P-103-006-vibration_rms,P-103,vibration_rms,5.18,mm/s RMS,2026-07-23T10:30:00Z
SR-P-103-006-bearing_temperature,P-103,bearing_temperature,70.71,°C,2026-07-23T10:30:00Z
SR-P-103-006-motor_current,P-103,motor_current,23.86,A,2026-07-23T10:30:00Z
SR-P-103-006-suction_pressure,P-103,suction_pressure,1.87,bar,2026-07-23T10:30:00Z
SR-P-103-006-discharge_pressure,P-103,discharge_pressure,5.64,bar,2026-07-23T10:30:00Z
SR-P-103-006-flow_rate,P-103,flow_rate,114.15,m³/h,2026-07-23T10:30:00Z
SR-P-103-006-rotational_speed,P-103,rotational_speed,1478.9,rpm,2026-07-23T10:30:00Z
SR-P-103-007-vibration_rms,P-103,vibration_rms,5.53,mm/s RMS,2026-07-23T10:35:00Z
SR-P-103-007-bearing_temperature,P-103,bearing_temperature,71.29,°C,2026-07-23T10:35:00Z
SR-P-103-007-motor_current,P-103,motor_current,24.23,A,2026-07-23T10:35:00Z
SR-P-103-007-suction_pressure,P-103,suction_pressure,1.83,bar,2026-07-23T10:35:00Z
SR-P-103-007-discharge_pressure,P-103,discharge_pressure,5.57,bar,2026-07-23T10:35:00Z
SR-P-103-007-flow_rate,P-103,flow_rate,114.22,m³/h,2026-07-23T10:35:00Z
SR-P-103-007-rotational_speed,P-103,rotational_speed,1480.92,rpm,2026-07-23T10:35:00Z
SR-P-103-008-vibration_rms,P-103,vibration_rms,5.84,mm/s RMS,2026-07-23T10:40:00Z
SR-P-103-008-bearing_temperature,P-103,bearing_temperature,71.66,°C,2026-07-23T10:40:00Z
SR-P-103-008-motor_current,P-103,motor_current,24.4,A,2026-07-23T10:40:00Z
SR-P-103-008-suction_pressure,P-103,suction_pressure,1.86,bar,2026-07-23T10:40:00Z
SR-P-103-008-discharge_pressure,P-103,discharge_pressure,5.65,bar,2026-07-23T10:40:00Z
SR-P-103-008-flow_rate,P-103,flow_rate,114.4,m³/h,2026-07-23T10:40:00Z
SR-P-103-008-rotational_speed,P-103,rotational_speed,1478.25,rpm,2026-07-23T10:40:00Z
SR-P-103-009-vibration_rms,P-103,vibration_rms,6.18,mm/s RMS,2026-07-23T10:45:00Z
SR-P-103-009-bearing_temperature,P-103,bearing_temperature,72.59,°C,2026-07-23T10:45:00Z
SR-P-103-009-motor_current,P-103,motor_current,24.66,A,2026-07-23T10:45:00Z
SR-P-103-009-suction_pressure,P-103,suction_pressure,1.84,bar,2026-07-23T10:45:00Z
SR-P-103-009-discharge_pressure,P-103,discharge_pressure,5.6,bar,2026-07-23T10:45:00Z
SR-P-103-009-flow_rate,P-103,flow_rate,114.42,m³/h,2026-07-23T10:45:00Z
SR-P-103-009-rotational_speed,P-103,rotational_speed,1481.39,rpm,2026-07-23T10:45:00Z
SR-P-103-010-vibration_rms,P-103,vibration_rms,6.6,mm/s RMS,2026-07-23T10:50:00Z
SR-P-103-010-bearing_temperature,P-103,bearing_temperature,72.96,°C,2026-07-23T10:50:00Z
SR-P-103-010-motor_current,P-103,motor_current,24.47,A,2026-07-23T10:50:00Z
SR-P-103-010-suction_pressure,P-103,suction_pressure,1.87,bar,2026-07-23T10:50:00Z
SR-P-103-010-discharge_pressure,P-103,discharge_pressure,5.55,bar,2026-07-23T10:50:00Z
SR-P-103-010-flow_rate,P-103,flow_rate,113.17,m³/h,2026-07-23T10:50:00Z
SR-P-103-010-rotational_speed,P-103,rotational_speed,1479.23,rpm,2026-07-23T10:50:00Z
SR-P-103-011-vibration_rms,P-103,vibration_rms,6.91,mm/s RMS,2026-07-23T10:55:00Z
SR-P-103-011-bearing_temperature,P-103,bearing_temperature,73.62,°C,2026-07-23T10:55:00Z
SR-P-103-011-motor_current,P-103,motor_current,24.97,A,2026-07-23T10:55:00Z
SR-P-103-011-suction_pressure,P-103,suction_pressure,1.84,bar,2026-07-23T10:55:00Z
SR-P-103-011-discharge_pressure,P-103,discharge_pressure,5.65,bar,2026-07-23T10:55:00Z
SR-P-103-011-flow_rate,P-103,flow_rate,113.57,m³/h,2026-07-23T10:55:00Z
SR-P-103-011-rotational_speed,P-103,rotational_speed,1478.56,rpm,2026-07-23T10:55:00Z
SR-P-104-000-vibration_rms,P-104,vibration_rms,3.05,mm/s RMS,2026-07-23T10:00:00Z
SR-P-104-000-bearing_temperature,P-104,bearing_temperature,67.09,°C,2026-07-23T10:00:00Z
SR-P-104-000-motor_current,P-104,motor_current,23.53,A,2026-07-23T10:00:00Z
SR-P-104-000-suction_pressure,P-104,suction_pressure,1.82,bar,2026-07-23T10:00:00Z
SR-P-104-000-discharge_pressure,P-104,discharge_pressure,5.58,bar,2026-07-23T10:00:00Z
SR-P-104-000-flow_rate,P-104,flow_rate,114.16,m³/h,2026-07-23T10:00:00Z
SR-P-104-000-rotational_speed,P-104,rotational_speed,1478.63,rpm,2026-07-23T10:00:00Z
SR-P-104-001-vibration_rms,P-104,vibration_rms,3.51,mm/s RMS,2026-07-23T10:05:00Z
SR-P-104-001-bearing_temperature,P-104,bearing_temperature,68.15,°C,2026-07-23T10:05:00Z
SR-P-104-001-motor_current,P-104,motor_current,23.65,A,2026-07-23T10:05:00Z
SR-P-104-001-suction_pressure,P-104,suction_pressure,1.76,bar,2026-07-23T10:05:00Z
SR-P-104-001-discharge_pressure,P-104,discharge_pressure,5.55,bar,2026-07-23T10:05:00Z
SR-P-104-001-flow_rate,P-104,flow_rate,111.97,m³/h,2026-07-23T10:05:00Z
SR-P-104-001-rotational_speed,P-104,rotational_speed,1481.93,rpm,2026-07-23T10:05:00Z
SR-P-104-002-vibration_rms,P-104,vibration_rms,3.89,mm/s RMS,2026-07-23T10:10:00Z
SR-P-104-002-bearing_temperature,P-104,bearing_temperature,69.81,°C,2026-07-23T10:10:00Z
SR-P-104-002-motor_current,P-104,motor_current,24.0,A,2026-07-23T10:10:00Z
SR-P-104-002-suction_pressure,P-104,suction_pressure,1.71,bar,2026-07-23T10:10:00Z
SR-P-104-002-discharge_pressure,P-104,discharge_pressure,5.5,bar,2026-07-23T10:10:00Z
SR-P-104-002-flow_rate,P-104,flow_rate,110.31,m³/h,2026-07-23T10:10:00Z
SR-P-104-002-rotational_speed,P-104,rotational_speed,1478.54,rpm,2026-07-23T10:10:00Z
SR-P-104-003-vibration_rms,P-104,vibration_rms,4.23,mm/s RMS,2026-07-23T10:15:00Z
SR-P-104-003-bearing_temperature,P-104,bearing_temperature,71.03,°C,2026-07-23T10:15:00Z
SR-P-104-003-motor_current,P-104,motor_current,24.03,A,2026-07-23T10:15:00Z
SR-P-104-003-suction_pressure,P-104,suction_pressure,1.65,bar,2026-07-23T10:15:00Z
SR-P-104-003-discharge_pressure,P-104,discharge_pressure,5.39,bar,2026-07-23T10:15:00Z
SR-P-104-003-flow_rate,P-104,flow_rate,107.09,m³/h,2026-07-23T10:15:00Z
